id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
747,2025-10-25 08:14:47.829759+00,2025-10-25 08:14:47.829759+00,"",1,50,0,t,10000,10000,"","","","",0.1,c0fb2b3a-5547-4096-9ece-f59dbd45298d,t
748,2025-10-25 08:15:32.240008+00,2025-10-25 08:15:32.240008+00,"",1,50,0,t,10000,10000,"","","","",0.1,467d516d-eafe-4242-a14f-7a984f211d77,t
456,2025-03-29 01:18:01.119723+00,2025-10-18 09:37:11.273664+00,"",1,50,0,t,7000,7500,"","","","",0.5,c8be1839-6f2a-49da-b43a-6e590ff08a30,t
749,2025-10-25 08:16:21.420444+00,2025-10-25 08:16:21.420444+00,"",1,55,0,t,10000,10000,"","","","",0.1,12eb6075-77e5-4078-989c-ddce7ad0c291,t
457,2025-03-29 01:19:05.439295+00,2025-10-18 09:37:58.45943+00,"",1,45,0,t,3000,3000,"","","","",0.2,4064e753-b003-4ef5-9a99-b06ae7261c21,t
38,2024-02-28 15:58:30.963071+00,2026-01-25 04:44:30.218007+00,"",1,1000,0,t,5900,6900,"","","","",1,e3efe797-a151-4d2a-ad08-8dc831537013,t
557,2025-09-08 11:05:29.597485+00,2025-12-12 09:19:46.661754+00,"",3,150,0,t,5500,5500,"","","","",0.5,6dc167de-39e3-490c-a253-24a089dda512,t
403,2024-08-24 05:54:37.876455+00,2025-12-27 03:01:30.826444+00,"",0,5908,0,f,11500,12500,"","","","",1,118c0729-294f-4dd2-b0b1-67988b63e7bd,t
561,2025-09-08 11:15:51.697063+00,2025-09-08 11:15:51.697063+00,"",3,50,0,t,4500,4500,"","","","",0.8,251786f0-6f61-42fe-ab56-febadc518ba5,t
562,2025-09-08 11:17:19.20455+00,2025-09-08 11:17:19.20455+00,"",3,50,0,t,6500,6500,"","","","",0.8,296ea79c-423b-4330-b8fd-5daa4c34d232,t
560,2025-09-08 11:08:32.341687+00,2025-10-19 09:52:23.003742+00,"",3,50,0,t,5000,5000,"","","","",0.2,967575a0-ffde-4677-b957-c4fa94cb49e4,t
750,2025-10-25 08:17:06.208608+00,2025-10-25 08:17:06.208608+00,"",1,50,0,t,10000,10000,"","","","",0.1,f12650c4-d774-4419-8721-01a6818c6205,t
559,2025-09-08 11:07:15.941413+00,2025-12-28 05:14:49.095714+00,"",3,50,0,t,5000,5000,"","","","",0.5,132b7c5a-b256-4497-90b5-97e7120754da,t
19,2024-02-07 18:30:37.645361+00,2026-01-27 10:22:45.884303+00,"",1,250,0,t,3500,4500,"","","","",1,12afe368-5c97-4f22-8a1d-f9d552213ca3,t
550,2025-09-08 10:56:20.405897+00,2026-01-24 09:08:37.488589+00,"",3,15,0,t,23900,23900,"","","","",1,b9ae62bb-f02f-4093-8fa5-7e3bef017af0,t
20,2024-02-08 14:12:50.371311+00,2026-01-25 04:27:34.990732+00,"",1,566,0,t,16500,17500,"","","","",5.5,f03949b4-426c-405f-8f93-ec57e2ad470f,t
25,2024-02-08 18:09:40.846838+00,2026-01-25 04:29:45.282093+00,"",1,1000,0,t,14800,1650,"","","","",1,97eb8372-f662-48ac-9fbd-983d7bf5b026,t
820,2025-11-23 04:21:37.286518+00,2026-02-01 08:05:18.837935+00,"",1,500,0,t,2500,3000,"","","","",0.1,00182c39-fcfa-490f-867f-c60fa19f9100,t
568,2025-09-08 11:22:03.288263+00,2025-12-28 05:11:16.108738+00,"",3,50,0,t,6000,6000,"","","","",1,4aa21960-291b-4f14-88bc-a9cfefc761e0,t
819,2025-11-23 04:20:53.282732+00,2026-02-01 08:07:04.5112+00,"",1,500,0,t,2500,3000,"","","","",0.1,e39d631d-5643-40f9-a4b0-96ac8d5078af,t
367,2024-08-07 08:45:51.034252+00,2024-08-07 08:45:51.034252+00,"",0,123,0,t,0,0,,,,,1,7415f995-9467-43e7-ab43-e66961b3bb2a,f
368,2024-08-07 09:01:21.954001+00,2024-08-07 09:01:21.954001+00,"",0,11,0,t,0,0,,,,,1,7415f995-9467-43e7-ab43-e66961b3bb2a,f
183,2024-03-18 18:08:59.477587+00,2026-01-28 09:21:35.363743+00,"",1,1000,0,t,1990,2500,"","","","",1.3,f080b54e-e0eb-4c06-ae67-3779a1eebf3a,t
